accuracy,f1,precision,recall,model,dataset_type,dataset_size,lang
0.9518181818181818,0.909710391822828,0.9303135888501742,0.89,bert-base-multilingual-uncased,cameras,large,ENG
0.9390909090909092,0.8873949579831932,0.8949152542372881,0.88,bert-base-multilingual-uncased,cameras,medium,ENG
0.88,0.8018018018018018,0.7295081967213115,0.89,bert-base-multilingual-uncased,cameras,small,ENG
0.9563636363636364,0.92,0.92,0.92,bert-base-multilingual-uncased,computers,large,ENG
0.9409090909090908,0.8946515397082658,0.8706624605678234,0.92,bert-base-multilingual-uncased,computers,medium,ENG
0.9245454545454546,0.8600337268128162,0.8703071672354948,0.85,bert-base-multilingual-uncased,computers,small,ENG
0.9463636363636364,0.9005059021922428,0.9112627986348124,0.89,bert-base-multilingual-uncased,shoes,large,ENG
0.8945454545454545,0.8258258258258258,0.7513661202185792,0.9166666666666666,bert-base-multilingual-uncased,shoes,medium,ENG
0.8490909090909091,0.7655367231638418,0.6642156862745098,0.9033333333333332,bert-base-multilingual-uncased,shoes,small,ENG
0.9618181818181818,0.9292929292929292,0.9387755102040816,0.92,bert-base-multilingual-uncased,watches,large,ENG
0.9527272727272728,0.9130434782608696,0.9161073825503356,0.91,bert-base-multilingual-uncased,watches,medium,ENG
0.92,0.8670694864048338,0.7928176795580111,0.9566666666666668,bert-base-multilingual-uncased,watches,small,ENG
0.9609090909090908,0.9262435677530017,0.9540636042402828,0.9,xlm-roberta-base,cameras,large,ENG
0.9363636363636364,0.8805460750853243,0.902097902097902,0.86,xlm-roberta-base,cameras,medium,ENG
0.901818181818182,0.8358662613981763,0.7681564245810056,0.9166666666666666,xlm-roberta-base,cameras,small,ENG
0.9654545454545456,0.937908496732026,0.9198717948717948,0.9566666666666668,xlm-roberta-base,computers,large,ENG
0.9272727272727272,0.8765432098765433,0.8160919540229885,0.9466666666666668,xlm-roberta-base,computers,medium,ENG
0.9127272727272728,0.8513931888544891,0.7947976878612717,0.9166666666666666,xlm-roberta-base,computers,small,ENG
0.9518181818181818,0.910321489001692,0.9243986254295532,0.8966666666666666,xlm-roberta-base,shoes,large,ENG
0.8790909090909091,0.7925117004680187,0.7448680351906158,0.8466666666666667,xlm-roberta-base,shoes,medium,ENG
0.7945454545454546,0.6878453038674033,0.5872641509433962,0.83,xlm-roberta-base,shoes,small,ENG
0.9654545454545456,0.9344827586206896,0.9678571428571427,0.9033333333333332,xlm-roberta-base,watches,large,ENG
0.95,0.9093904448105437,0.8990228013029316,0.92,xlm-roberta-base,watches,medium,ENG
0.92,0.8562091503267975,0.8397435897435898,0.8733333333333333,xlm-roberta-base,watches,small,ENG
0.9495454545454546,0.9071129707112972,0.9109243697478993,0.9033333333333332,bert-base-multilingual-uncased,all,large,PL
0.9363636363636364,0.8782608695652174,0.9181818181818182,0.8416666666666667,bert-base-multilingual-uncased,all,medium,PL
0.925,0.8621553884711779,0.864321608040201,0.86,bert-base-multilingual-uncased,all,small,PL
0.9618181818181818,0.9273356401384084,0.9640287769784172,0.8933333333333333,bert-base-multilingual-uncased,chemia,large,PL
0.9490909090909092,0.9078947368421052,0.8961038961038961,0.92,bert-base-multilingual-uncased,chemia,medium,PL
0.9254545454545454,0.8530465949820788,0.9224806201550388,0.7933333333333333,bert-base-multilingual-uncased,chemia,small,PL
0.9409090909090908,0.9010654490106544,0.8291316526610645,0.9866666666666668,bert-base-multilingual-uncased,napoje,large,PL
0.9381818181818182,0.8851351351351352,0.8972602739726028,0.8733333333333333,bert-base-multilingual-uncased,napoje,medium,PL
0.9209090909090908,0.8552412645590682,0.8538205980066446,0.8566666666666667,bert-base-multilingual-uncased,napoje,small,PL
0.9554545454545454,0.9198036006546644,0.9035369774919614,0.9366666666666666,xlm-roberta-base,all,large,PL
0.9390909090909092,0.8856655290102389,0.9073426573426572,0.865,xlm-roberta-base,all,medium,PL
0.8995454545454545,0.8063102541630148,0.8502772643253235,0.7666666666666667,xlm-roberta-base,all,small,PL
0.9618181818181818,0.9283276450511946,0.951048951048951,0.9066666666666666,xlm-roberta-base,chemia,large,PL
0.9154545454545454,0.8622222222222223,0.776,0.97,xlm-roberta-base,chemia,medium,PL
0.9136363636363636,0.8300536672629696,0.8957528957528957,0.7733333333333333,xlm-roberta-base,chemia,small,PL
0.9290909090909092,0.8818181818181818,0.8083333333333333,0.97,xlm-roberta-base,napoje,large,PL
0.9363636363636364,0.890625,0.8382352941176471,0.95,xlm-roberta-base,napoje,medium,PL
0.9063636363636364,0.835725677830941,0.8012232415902141,0.8733333333333333,xlm-roberta-base,napoje,small,PL
